timestamp,throttle,pitch,roll,yaw,battery_current,altitude,latitude,longitude
135.326207,0.0,-0.74,-0.5,318.6,0.0031926569435931085,419.22,0.012739100000004555,0.02001690000000167
135.326794,0.0,-0.74,-0.5,318.6,0.0031926569435931085,419.22,0.012739100000004555,0.02001690000000167
135.327567,0.0,-0.74,-0.5,318.6,0.0031926569435931085,419.22,0.012739100000004555,0.02001690000000167
135.328092,0.0,-0.74,-0.5,318.6,0.0031941023514751275,419.22,0.012739100000004555,0.02001690000000167
135.347189,0.0,-0.74,-0.5,318.6,0.0032466794073272606,419.22,0.012739100000004555,0.02001690000000167
135.366214,0.0,-0.74,-0.5,318.6,0.003299058235812829,419.21591869569886,0.012739113604354202,0.020016913604351316
135.367847,0.0,-0.74,-0.5,318.6,0.003303554142615285,419.2155683792772,0.012739114772074345,0.02001691477207146
135.406241,0.0,-0.74,-0.5,318.6,0.003409258885893659,419.20733197468644,0.012739142226763533,0.020016942226760648
135.407816,0.0,-0.74,-0.5,318.6,0.00341359510953964,419.2069941006114,0.012739143353002191,0.020016943352999306
135.426839,0.0,-0.74,-0.5,318.6,0.0034659684317094033,419.20291322535684,0.012739156955923647,0.02001695695592076
135.427159,0.0,-0.74,-0.5,318.6,0.003466849442227917,419.2028445779256,0.012739157184739724,0.02001695718473684
135.447114,0.0,-0.74,-0.5,318.6,0.0034863108246793216,419.19856376702785,0.012739171454107634,0.02001697145410475
135.466223,0.0,-0.74,-0.5,318.6,0.0035049471342390305,419.19446444277605,0.012739185118526564,0.020016985118523678
135.487034,0.0,-0.74,-0.5,318.6,0.00352524334221676,419.19000000000005,0.012739199999998618,0.020016999999995733
135.487988,0.0,-0.74,-0.5,318.6,0.003526173743562728,419.1899522942754,0.012739200477057011,0.020017000477054125
135.506218,0.0,-0.74,-0.5,318.6,0.003543952796536353,419.18904068488223,0.01273920959314978,0.020017009593146895
135.526824,0.0,-0.74,-0.5,318.6,0.0035640490755037167,419.1880102612314,0.012739219897383691,0.020017019897380806
135.527294,0.0,-0.74,-0.5,318.6,0.0035645074493324464,419.18798675841106,0.012739220132417017,0.02001702013241413
135.52754,0.0,-0.74,-0.5,318.6,0.0035627733711012517,419.18797445693485,0.012739220255433281,0.020017020255430396
135.56622,0.0,-0.74,-0.5,318.6,0.0032901142410639004,419.186040224827,0.012739239597749474,0.02001703959774659
135.56783,0.0,-0.74,-0.5,318.6,0.0032787651924765164,419.18595971516584,0.012739240402844132,0.020017040402841246
135.607123,0.0,-0.74,-0.5,318.6,0.0030017849650576457,419.18399482937957,0.012739260051702672,0.020017060051699787
135.626215,0.0,-0.74,-0.5,318.6,0.0028672035764673314,419.1830401148138,0.012739269598853298,0.020017069598850412
135.62679,0.0,-0.74,-0.5,318.6,0.002863150344828995,419.1830113613636,0.012739269886388627,0.02001706988638574
135.627735,0.0,-0.74,-0.5,318.6,0.002856488946745083,419.1829641056928,0.012739270358942179,0.020017070358939293
135.64767,0.0,-0.74,-0.5,318.6,0.0029035141876232835,419.18196723606843,0.012739280327643598,0.020017080327640713
135.666217,0.0,-0.74,-0.5,318.6,0.002947265235657749,419.181039774773,0.012739289602251347,0.02001708960224846
135.68701,0.0,-0.74,-0.5,318.6,0.0029963144372419036,419.18000000000006,0.012739299999999787,0.0200170999999969
135.687995,0.0,-0.74,-0.5,318.6,0.002998637981875247,419.179901486208,0.012739299999999787,0.0200170999999969
135.706226,0.0,-0.74,-0.5,318.6,0.003041643608484209,419.1780781309384,0.012739299999999787,0.0200170999999969
135.726834,0.0,-0.74,-0.5,318.6,0.003090256408284472,419.176017042386,0.012739299999999787,0.0200170999999969
135.727783,0.0,-0.74,-0.5,318.6,0.0030924950314895386,419.175922129098,0.012739299999999787,0.0200170999999969
135.728036,0.0,-0.74,-0.5,318.6,0.0030936352528601768,419.1758968255556,0.012739299999999787,0.0200170999999969
135.746222,0.0,-0.74,-0.5,318.6,0.0031755959874261927,419.1740779709161,0.012739299999999787,0.0200170999999969
135.767392,0.0,-0.74,-0.5,318.6,0.003271005024639702,419.17196067449447,0.012739299999999787,0.0200170999999969
135.806229,0.0,-0.74,-0.5,318.6,0.0034460357652282263,419.16807643070047,0.012739299999999787,0.0200170999999969
135.807308,0.0,-0.74,-0.5,318.6,0.003450898606567562,419.1679685155922,0.012739299999999787,0.0200170999999969
135.826805,0.0,-0.74,-0.5,318.6,0.0035387677609629727,419.166018542596,0.012739299999999787,0.0200170999999969
135.827099,0.0,-0.74,-0.5,318.6,0.003540092761290816,419.1659891384794,0.012739299999999787,0.0200170999999969
135.846226,0.0,-0.74,-0.5,318.6,0.003372124586096505,419.16407617066386,0.012739299999999787,0.0200170999999969
135.847246,0.0,-0.74,-0.5,318.6,0.0033631672201373856,419.163974156382,0.012739299999999787,0.0200170999999969
135.886224,0.0,-0.74,-0.5,318.6,0.0030208728962642026,419.1600758106134,0.012739299999999787,0.0200170999999969
135.886982,0.0,-0.74,-0.5,318.6,0.0030142163439143468,419.15999999999997,0.012739299999999787,0.0200170999999969
135.888116,0.0,-0.74,-0.5,318.6,0.003004257860583368,419.1595465451056,0.01273929886636438,0.020017098299540237
135.926222,0.0,-0.74,-0.5,318.6,0.0026696212064319003,419.14430902111326,0.012739260772562488,0.020017041158830295
135.926783,0.0,-0.74,-0.5,318.6,0.002664694655154397,419.1440846928982,0.012739260211731107,0.020017040317597434
135.927184,0.0,-0.74,-0.5,318.6,0.0026611731808900206,419.14392434420984,0.012739259810864212,0.020017039716286433
135.927745,0.0,-0.74,-0.5,318.6,0.0026611731808900206,419.1437000159948,0.012739259250039936,0.020017038875060678
135.966218,0.0,-0.74,-0.5,318.6,0.0026611731808900206,419.1283157389636,0.012739220789349304,0.020016981184021176
135.967874,0.0,-0.74,-0.5,318.6,0.0026611731808900206,419.12765355086367,0.012739219133884205,0.020016978700816423
136.006215,0.0,-0.74,-0.5,318.6,0.0026611731808900206,419.1123220569418,0.012739180805148465,0.020016921207712812
